stat_id,claim,number,unit,geography,date_or_period,publisher,source_url,quote_or_context,section_tag,verification
MCS-001,"Receptionists held about 947,500 jobs in 2025.",947500,jobs,US,2025,U.S. Bureau of Labor Statistics (OOH),https://www.bls.gov/ooh/office-and-administrative-support/receptionists.htm,"Receptionists held about 947,500 jobs in 2025.",receptionist_labor,verified
MCS-002,"Median annual wage for receptionists was $38,010.",38010,USD/year,US,May 2025,U.S. Bureau of Labor Statistics (OOH),https://www.bls.gov/ooh/office-and-administrative-support/receptionists.htm,"Quick Facts: Receptionists | $38,010 per year $18.27 per hour",cost_wages,verified
MCS-003,Median hourly wage for receptionists was $18.27 in May 2025.,18.27,USD/hour,US,May 2025,U.S. Bureau of Labor Statistics (OOH),https://www.bls.gov/ooh/office-and-administrative-support/receptionists.htm,The median hourly wage for receptionists was $18.27 in May 2025.,cost_wages,verified
MCS-004,Employment of receptionists is projected to decline 2 percent from 2025 to 2035.,2,percent decline,US,2025–2035,U.S. Bureau of Labor Statistics (OOH),https://www.bls.gov/ooh/office-and-administrative-support/receptionists.htm,Employment of receptionists is projected to decline 2 percent from 2025 to 2035.,receptionist_labor,verified
MCS-005,"About 105,100 openings for receptionists are projected each year, on average, over the decade.",105100,openings/year,US,2025–2035,U.S. Bureau of Labor Statistics (OOH),https://www.bls.gov/ooh/office-and-administrative-support/receptionists.htm,"Despite declining employment, about 105,100 openings for receptionists are projected each year, on average, over the decade.",receptionist_labor,verified
MCS-006,"Projected employment of receptionists in 2035 is 931,600.",931600,jobs,US,2035,U.S. Bureau of Labor Statistics (OOH),https://www.bls.gov/ooh/office-and-administrative-support/receptionists.htm,"Receptionists and information clerks | 43-4171 | 947,500 | 931,600 | -2 | -16,000",receptionist_labor,verified
MCS-007,"Employment of receptionists is projected to fall by about 16,000 jobs from 2025 to 2035.",16000,jobs decline,US,2025–2035,U.S. Bureau of Labor Statistics (OOH),https://www.bls.gov/ooh/office-and-administrative-support/receptionists.htm,"Change, 2025–35 | Percent -2 | Numeric -16,000",receptionist_labor,verified
MCS-008,Healthcare and social assistance employed 42% of receptionists.,42,percent,US,2025,U.S. Bureau of Labor Statistics (OOH),https://www.bls.gov/ooh/office-and-administrative-support/receptionists.htm,Healthcare and social assistance | 42%,receptionist_labor,verified
MCS-009,"Professional, scientific, and technical services employed 11% of receptionists.",11,percent,US,2025,U.S. Bureau of Labor Statistics (OOH),https://www.bls.gov/ooh/office-and-administrative-support/receptionists.htm,"Professional, scientific, and technical services | 11",receptionist_labor,verified
MCS-010,Personal care services employed 7% of receptionists.,7,percent,US,2025,U.S. Bureau of Labor Statistics (OOH),https://www.bls.gov/ooh/office-and-administrative-support/receptionists.htm,Personal care services | 7,receptionist_labor,verified
MCS-011,The lowest 10 percent of receptionists earned less than $13.83 per hour.,13.83,USD/hour,US,May 2025,U.S. Bureau of Labor Statistics (OOH),https://www.bls.gov/ooh/office-and-administrative-support/receptionists.htm,"The lowest 10 percent earned less than $13.83, and the highest 10 percent earned more than $24.01.",cost_wages,verified
